,0
word_count,-0.013793937955026803
text_length,0.044525863865378205
title_length,0.029859732846550156
vocab_diversity,0.15262874423175413
n_pvalues,-0.003249973917962664
has_p05,0.0
pval_cluster,1.4719028696642418e-05
sig_word_count,-0.0006557237067251262
n_samples_found,-0.0006756252570232992
min_sample,0.0029281897969432153
max_sample,-0.002406571163844884
tiny_sample,-0.0001061529177496385
number_density,0.010059646960512456
n_numbers,-0.0035254643452687588
round_number_ratio,0.007695194168571795
terminal_zero_bias,-0.00028542627980636214
ai_phrase_count,0.0026368145487907163
ai_phrase_density,0.019936632287138985
sentence_uniformity,0.018367495926420997
avg_sentence_len,0.027829266526198063
burstiness,0.008548630236137555
n_sentences,0.03349845913127397
method_good_count,0.0035862170099135613
method_bad_count,-0.00031067201375495525
methodology_score,7.489977752458956e-06
n_citations,0.0003116165463023591
citation_density,-6.214627000642982e-05
self_cite_signals,-0.003208956852757935
repro_positive,0.003739803717666366
repro_negative,0.0
title_hype_count,-0.00010904902857386402
title_has_numbers,-0.021923789539280855
predatory_journal,0.04191622597320967
high_risk_subject,4.645669316112703
benford_deviation,0.012912697423546324
high_risk_combo,0.0010671632491703273
integrity_index,0.01918071315317233
